GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
literalura,com.henao.literalura.app,Principal,77,207,10,15,22,58,8,15,1,7
literalura,com.henao.literalura,LiteraluraApplication,19,0,0,0,6,0,3,0,3,0
literalura,com.henao.literalura.model,DatosLibro,15,0,0,0,1,0,1,0,1,0
literalura,com.henao.literalura.model,Libro,96,0,4,0,30,0,15,0,13,0
literalura,com.henao.literalura.model,DatosAutor,12,0,0,0,1,0,1,0,1,0
literalura,com.henao.literalura.model,Idioma,28,66,4,4,4,14,3,5,1,3
literalura,com.henao.literalura.model,Autor,61,0,0,0,23,0,13,0,13,0
literalura,com.henao.literalura.model,ResultadoDeLibros,0,6,0,0,0,1,0,1,0,1
literalura,com.henao.literalura.service,ConsumoAPI,34,0,0,0,15,0,2,0,2,0
literalura,com.henao.literalura.service,ConvierteDatos,20,0,0,0,5,0,2,0,2,0
